id,category,source_type,title,url,contribution,relationship_to_blast_radius,empirical_tenant_parameters,status
S02,attack graphs,institutional publication record,Automated Generation and Analysis of Attack Graphs,https://www.ll.mit.edu/r-d/publications/automated-generation-and-analysis-attack-graphs,symbolic model checking and graph analysis,prior art not novelty claim,none,metadata and abstract read
M05,attack graphs,conference abstract,MulVAL A Logic-based Network Security Analyzer,https://www.usenix.org/legacy/event/sec05/tech/ou.html,Datalog multistage security reasoning,possible explicitly separate vulnerability extension,none,official abstract read
N10,security metrics,institutional publication record,Measuring Security Risk of Networks Using Attack Graphs,https://www.nist.gov/publications/measuring-security-risk-networks-using-attack-graphs,likelihood propagation and mitigation analysis,distinguish risk from authorization reach,none,metadata and abstract read
Z18,authorization reasoning,publisher record,Semantic-based Automated Reasoning for AWS Access Policies using SMT,https://www.amazon.science/publications/semantic-based-automated-reasoning-for-aws-access-policies-using-smt,formal policy semantics and SMT,normalizer correctness is separate,none,metadata and abstract read
A26,IAM analysis,official documentation,Using AWS IAM Access Analyzer,https://docs.aws.amazon.com/IAM/latest/UserGuide/what-is-access-analyzer.html,external internal and unused access plus policy checks,overlap acknowledged without parity claim,none,official documentation read
P26,misconfiguration tooling,repository documentation,Prowler,https://github.com/prowler-cloud/prowler,checks prioritization and attack paths,not limited to checklist scanning,none,current repository description read
B26,identity graphs,repository documentation,BloodHound,https://github.com/SpecterOps/BloodHound,identity paths and OpenGraph extensions,prior practical identity-graph analysis,none,current repository description read
L19,secret leakage,conference abstract,How Bad Can It Git,https://www.ndss-symposium.org/ndss-paper/how-bad-can-it-git-characterizing-secret-leakage-in-public-github-repositories/,longitudinal secret leakage study,acquisition prevalence differs from attached authority,none,official abstract read
C26,CIEM,vendor overview,What Is CIEM Use Cases Challenges and Benefits,https://www.wiz.io/academy/cloud-security/cloud-infrastructure-entitlement-management-ciem,effective entitlement category,not an independent prevalence benchmark,none accepted,vendor description read
NS07,aggregate privacy,author preprint,How To Break Anonymity of the Netflix Prize Dataset,https://arxiv.org/abs/cs/0610105,auxiliary-information linkage,methodological warning not transferred attack rate,none,preprint metadata and abstract read
DR,differential privacy,author book page,The Algorithmic Foundations of Differential Privacy,https://www.cis.upenn.edu/~aaroth/privacybook.html,formal privacy and composition,basis for bounded aggregate proof,none,author description read
